stn,name,cohort,lat,lon,is_nbcn,elev,elev_diff,mae,bias,crps,mae_ref_raw,mae_ref_corr,skill_raw,skill_corr,z_std,cov90,pit_mean,pit_std,mae_tail,bias_tail,cov90_tail,n_days
ALT,Altdorf,smn,46.887069,8.621894,True,438.0,-730.4423291413268,1.8088055849075317,-0.16886410117149353,1.3782763622900753,6.651829242706299,2.7006598748208357,0.792797392716996,0.4896520012978267,1.9144752025604248,0.6570841889117043,0.5513048283338648,0.3628315145083905,1.0458210706710815,0.1861182600259781,0.7533333333333333,1461
AND,Andeer,smn,46.610139,9.431981,False,987.0,-835.8041260222778,2.063340425491333,-0.6979559063911438,1.5380742417937918,7.687673091888428,2.7647819780706193,0.7999298066645582,0.44369058609564416,1.7463290691375732,0.5749486652977412,0.6692501787932758,0.349275962159454,2.002675771713257,-1.9760054349899292,0.35570469798657717,1461
ANT,Andermatt,smn,46.630914,8.580553,True,1435.0,-638.606765852117,1.5398880243301392,0.06739930063486099,1.1304172104386614,5.247351169586182,1.9898242952883554,0.7845737451324781,0.4319009908988738,1.3773561716079712,0.8418891170431212,0.51854200209147,0.3140830748064781,1.0440576076507568,-0.6270530819892883,0.868421052631579,1461
ARH,Altenrhein,smn,47.483631,9.56685,False,398.0,-64.94090782699163,1.054875373840332,0.06478791683912277,0.7779635109707881,2.126357078552246,1.8696216931630019,0.6341331760230633,0.5838925522656728,1.3005716800689697,0.839151266255989,0.4870781058855043,0.3024049183419858,0.8071692585945129,0.14448422193527222,0.7960526315789473,1461
ARO,Arosa,smn,46.792661,9.679014,False,1878.0,12.304399863530762,1.0628018379211426,0.20446445047855377,0.7524540664535573,1.6828862428665161,1.7014492665883754,0.5528788296635683,0.5577569774017861,0.9158976078033447,0.9158110882956879,0.4397602956270169,0.27024265370099915,1.1056283712387085,0.5705614686012268,0.8378378378378378,1461
ATT,Les Attelas,smn,46.0991,7.26865,False,2734.0,689.9400840912194,1.5577956438064575,0.49424606561660767,1.1048995708955496,4.32396936416626,2.478865734605196,0.744470999250802,0.5542721191103459,1.225030779838562,0.7939767282683093,0.3947801945181873,0.3148824648824501,1.5088070631027222,1.2262239456176758,0.7837837837837838,1461
BAS,Basel / Binningen,smn,47.541142,7.583525,True,316.0,-20.92088957367406,0.9896957874298096,-0.019054226577281952,0.7263651139091502,1.7350276708602905,1.644931926558749,0.5813524325240349,0.5584223868590541,1.188247561454773,0.865160848733744,0.5177046242484424,0.2940234796014287,0.8141396045684814,-0.22745171189308167,0.8851351351351351,1461
BEH,Passo del Bernina,smn,46.409158,10.019567,False,2260.0,-270.6412680494104,1.0100040435791016,0.2868025004863739,0.7159270351901903,2.6262550354003906,1.570835426618202,0.7273962255988431,0.5442380385248344,0.8993586301803589,0.9233401779603012,0.4370382854008275,0.2665941704469202,0.9368394613265991,-0.3950582444667816,0.9530201342281879,1461
BER,Bern / Zollikofen,smn,46.990744,7.464061,True,553.0,-42.99078112868153,0.8571035265922546,0.07103918492794037,0.6283892545180719,1.8918167352676392,1.7379835666862797,0.6678381986988965,0.6384377467295689,1.0015665292739868,0.9014373716632443,0.48266849418352814,0.27223924403649347,0.6387704014778137,0.07723550498485565,0.8888888888888888,1461
BEZ,Beznau,smn,47.557256,8.233325,False,326.0,-97.87898983981569,1.023420810699463,-0.3602416217327118,0.7378922448000542,2.0326790809631348,1.6081504395290134,0.6369853698447951,0.5411547162116473,1.090946912765503,0.8747433264887063,0.5999240291144815,0.27788573302683456,0.8793462514877319,-0.49596861004829407,0.8503401360544217,1461
